src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,87.0,338.0,2.997,2.023,0.0
1,0,83.0,974.0,2.997,0.759,0.0
0,2,87.0,974.0,2.993,0.436,2.0
2,0,83.0,974.0,2.993,0.723,4.0
0,3,87.0,976.0,2.939,0.56,2.0
3,0,84.0,978.0,2.939,0.667,2.0
0,4,87.0,976.0,2.78,0.427,1.0
4,0,84.0,976.0,2.78,0.349,1.0
0,5,87.0,939.0,2.66,2.277,0.0
5,0,82.0,963.0,2.66,0.425,0.0
0,6,87.0,962.0,4.076,0.813,1.0
6,0,82.0,953.0,4.076,0.784,1.0
0,7,87.0,934.0,3.904,1.729,0.0
7,0,81.0,941.0,3.904,0.876,0.0
0,8,86.0,976.0,2.995,0.615,1.0
8,0,84.0,976.0,2.995,0.384,2.0
1,2,87.0,976.0,4.298,0.546,1.0
2,1,84.0,976.0,4.298,0.48,3.0
1,3,87.0,976.0,4.605,0.579,2.0
3,1,84.0,976.0,4.605,0.467,1.0
1,4,87.0,976.0,3.759,0.446,3.0
4,1,84.0,977.0,3.759,0.385,2.0
1,5,87.0,937.0,4.273,0.616,3.0
5,1,81.0,942.0,4.273,0.861,4.0
1,6,87.0,952.0,4.388,2.286,0.0
6,1,82.0,951.0,4.388,1.652,0.0
1,7,87.0,938.0,4.022,1.596,0.0
7,1,81.0,946.0,4.022,0.953,0.0
1,8,87.0,976.0,4.593,0.392,3.0
8,1,84.0,977.0,4.593,0.373,3.0
2,3,87.0,976.0,5.005,0.415,1.0
3,2,84.0,976.0,5.005,0.523,1.0
2,4,87.0,975.0,4.307,0.496,2.0
4,2,84.0,976.0,4.307,0.515,1.0
2,5,87.0,974.0,4.739,0.946,3.0
5,2,82.0,957.0,4.739,0.726,3.0
2,6,87.0,930.0,4.217,3.21,0.0
6,2,81.0,949.0,4.217,1.612,0.0
2,7,87.0,934.0,4.336,1.476,0.0
7,2,81.0,942.0,4.336,0.815,0.0
2,8,87.0,976.0,4.402,0.435,2.0
8,2,84.0,976.0,4.402,0.597,3.0
3,4,87.0,976.0,4.33,0.469,2.0
4,3,84.0,977.0,4.33,0.677,2.0
3,5,87.0,939.0,4.188,2.292,0.0
5,3,82.0,959.0,4.188,0.712,0.0
3,6,87.0,976.0,4.38,0.581,2.0
6,3,82.0,953.0,4.38,0.671,1.0
3,7,87.0,934.0,8.483,1.541,0.0
7,3,81.0,942.0,8.483,0.889,0.0
3,8,87.0,976.0,4.289,0.736,0.0
8,3,84.0,976.0,4.289,0.749,1.0
4,5,87.0,974.0,3.778,0.618,1.0
5,4,82.0,961.0,3.778,0.848,2.0
4,6,87.0,930.0,4.547,2.703,0.0
6,4,81.0,950.0,4.547,1.104,0.0
4,7,87.0,950.0,4.093,1.132,0.0
7,4,82.0,949.0,4.093,1.18,0.0
4,8,87.0,976.0,4.319,0.463,1.0
8,4,83.0,974.0,4.319,0.425,2.0
5,6,87.0,934.0,4.576,1.413,0.0
6,5,81.0,951.0,4.576,0.628,0.0
5,7,87.0,924.0,4.658,2.143,0.0
7,5,81.0,942.0,4.658,0.976,0.0
5,8,87.0,959.0,15.136,0.766,3.0
8,5,84.0,976.0,15.136,0.543,2.0
6,7,87.0,921.0,3.955,3.068,0.0
7,6,80.0,940.0,3.955,2.573,0.0
6,8,87.0,930.0,5.136,2.247,0.0
8,6,81.0,950.0,5.136,0.932,0.0
7,8,87.0,934.0,4.498,1.523,0.0
8,7,81.0,946.0,4.498,0.763,0.0
