src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,171.0,890.0,4.088,47.776,0.0
1,0,83.0,966.0,4.088,9.829,0.0
0,2,171.0,910.0,2.85,47.224,2.0
2,0,84.0,985.0,2.85,9.695,2.0
0,3,172.0,909.0,3.926,47.435,0.0
3,0,83.0,972.0,3.926,9.73,0.0
0,4,171.0,908.0,2.833,47.634,0.0
4,0,84.0,976.0,2.833,9.71,0.0
1,2,174.0,902.0,2.888,46.576,0.0
2,1,84.0,980.0,2.888,9.723,0.0
1,3,170.0,902.0,3.996,47.573,0.0
3,1,83.0,965.0,3.996,9.819,0.0
1,4,174.0,903.0,4.136,46.78,0.0
4,1,84.0,981.0,4.136,9.755,0.0
2,3,172.0,908.0,2.596,47.192,0.0
3,2,82.0,960.0,2.596,9.927,0.0
2,4,173.0,916.0,2.889,46.693,0.0
4,2,84.0,985.0,2.889,9.696,0.0
3,4,174.0,898.0,4.112,47.356,0.0
4,3,83.0,972.0,4.112,9.98,0.0
