src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,171.0,903.0,5.034,48.701,3.0
1,0,84.0,976.0,5.034,9.715,4.0
0,2,172.0,899.0,3.501,48.235,0.0
2,0,83.0,972.0,3.501,9.725,0.0
0,3,160.0,902.0,3.583,50.42,1.0
3,0,84.0,985.0,3.583,9.705,1.0
0,4,172.0,897.0,3.167,48.934,0.0
4,0,83.0,972.0,3.167,9.771,0.0
1,2,172.0,901.0,8.167,48.534,0.0
2,1,82.0,962.0,8.167,10.443,0.0
1,3,172.0,896.0,4.982,48.636,4.0
3,1,84.0,985.0,4.982,9.701,4.0
1,4,172.0,898.0,4.913,48.928,0.0
4,1,83.0,972.0,4.913,9.896,0.0
2,3,173.0,888.0,3.242,48.878,0.0
3,2,83.0,967.0,3.242,10.287,0.0
2,4,171.0,895.0,3.717,48.286,0.0
4,2,83.0,966.0,3.717,9.821,0.0
3,4,171.0,902.0,4.753,49.741,0.0
4,3,83.0,968.0,4.753,9.754,0.0
