src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,172.0,899.0,5.284,48.13,0.0
1,0,83.0,973.0,5.284,9.857,0.0
0,2,170.0,891.0,3.381,48.957,0.0
2,0,84.0,976.0,3.381,9.901,0.0
0,3,173.0,893.0,4.968,48.631,0.0
3,0,84.0,980.0,4.968,9.872,0.0
0,4,172.0,890.0,3.517,48.647,0.0
4,0,84.0,981.0,3.517,9.744,0.0
1,2,172.0,895.0,3.369,48.737,0.0
2,1,84.0,980.0,3.369,9.699,0.0
1,3,173.0,889.0,5.311,49.347,0.0
3,1,84.0,976.0,5.311,9.711,0.0
1,4,172.0,888.0,5.43,48.984,0.0
4,1,84.0,981.0,5.43,9.719,0.0
2,3,171.0,901.0,3.457,48.893,2.0
3,2,84.0,979.0,3.457,9.709,2.0
2,4,172.0,900.0,3.571,48.701,2.0
4,2,84.0,980.0,3.571,9.718,2.0
3,4,173.0,902.0,3.347,48.459,2.0
4,3,84.0,985.0,3.347,9.698,2.0
