src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,427.0,4.82,2.643,0.428,0.0
1,0,413.0,4.85,2.643,0.194,0.0
0,2,427.0,4.85,8.344,0.384,0.0
2,0,413.0,4.86,8.344,0.135,0.0
0,3,427.0,845.0,6.524,2.883,97.0
3,0,428.0,469.0,6.524,260.297,403.0
0,4,427.0,4.75,4.33,0.185,19.0
4,0,425.0,4.99,4.33,0.156,14.0
1,2,427.0,4.86,3.494,0.498,0.0
2,1,414.0,4.87,3.494,0.493,0.0
1,3,427.0,4.94,4.23,0.18,12.0
3,1,412.0,4.84,4.23,0.195,6.0
1,4,427.0,4.83,2.707,0.183,0.0
4,1,408.0,4.79,2.707,0.333,0.0
2,3,427.0,4.83,2.678,0.314,0.0
3,2,413.0,4.85,2.678,0.119,0.0
2,4,427.0,4.28,4.251,0.417,0.0
4,2,367.0,4.31,4.251,1.191,0.0
3,4,427.0,4.82,3.0,0.367,0.0
4,3,410.0,4.81,3.0,0.17,0.0
