src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,893.0,1.05,2.742,0.239,0.0
1,0,893.0,1.05,2.742,0.452,0.0
0,2,893.0,1.05,3.232,1.345,0.0
2,0,893.0,1.05,3.232,2.595,0.0
0,3,893.0,1.05,2.998,0.607,2.0
3,0,893.0,1.05,2.998,0.499,0.0
0,4,893.0,1.06,4.411,0.938,6.0
4,0,893.0,1.05,4.411,0.858,3.0
0,5,893.0,1.05,4.376,0.291,2.0
5,0,893.0,1.05,4.376,0.378,1.0
0,6,893.0,1.05,5.948,3.49,0.0
6,0,893.0,1.05,5.948,4.058,0.0
1,2,893.0,1.05,2.846,0.722,2.0
2,1,893.0,1.05,2.846,0.711,3.0
1,3,893.0,1.05,4.866,0.401,0.0
3,1,893.0,1.05,4.866,0.696,0.0
1,4,893.0,1.05,6.183,1.464,0.0
4,1,893.0,1.05,6.183,1.127,0.0
1,5,893.0,1.06,5.474,0.628,5.0
5,1,893.0,1.05,5.474,0.573,2.0
1,6,893.0,1.06,4.245,0.828,5.0
6,1,893.0,1.05,4.245,0.347,2.0
2,3,893.0,1.05,4.515,0.21,0.0
3,2,893.0,1.05,4.515,0.291,0.0
2,4,893.0,1.05,4.704,1.837,3.0
4,2,893.0,1.05,4.704,2.268,1.0
2,5,893.0,1.05,2.974,0.163,4.0
5,2,893.0,1.05,2.974,0.249,3.0
2,6,893.0,1.05,6.299,0.272,0.0
6,2,893.0,1.05,6.299,0.345,0.0
3,4,893.0,1.05,2.927,2.453,0.0
4,3,893.0,1.05,2.927,2.665,0.0
3,5,893.0,1.05,3.819,0.235,0.0
5,3,893.0,1.05,3.819,0.433,0.0
3,6,893.0,1.05,5.063,0.454,0.0
6,3,893.0,1.05,5.063,0.219,0.0
4,5,893.0,1.05,3.211,2.295,0.0
5,4,893.0,1.05,3.211,2.314,0.0
4,6,893.0,1.05,3.001,1.133,2.0
6,4,893.0,1.05,3.001,1.398,1.0
5,6,893.0,1.05,4.542,0.19,3.0
6,5,893.0,1.05,4.542,0.184,1.0
