src,dst,PktsGen,AvgBw,AvgDelay,jitter,loss
0,1,257.0,3.0,32.119,0.393,0.0
1,0,257.0,3.0,32.119,0.685,0.0
0,2,257.0,3.01,4.577,0.222,0.0
2,0,256.0,2.99,4.577,0.425,0.0
0,3,257.0,2.96,8.833,1.552,1.0
3,0,257.0,3.61,8.833,1.734,7.0
0,4,257.0,3.14,3.173,0.82,5.0
4,0,257.0,3.07,3.173,0.967,4.0
0,5,257.0,3.0,6.048,0.351,0.0
5,0,256.0,3.0,6.048,0.462,0.0
1,2,257.0,3.01,4.508,0.224,0.0
2,1,256.0,2.99,4.508,0.717,0.0
1,3,257.0,3.07,3.149,0.815,1.0
3,1,257.0,3.08,3.149,0.282,2.0
1,4,257.0,3.11,5.909,0.537,0.0
4,1,257.0,3.09,5.909,0.432,1.0
1,5,257.0,2.99,2.617,0.69,0.0
5,1,255.0,3.0,2.617,1.102,0.0
2,3,257.0,3.0,6.078,0.621,0.0
3,2,256.0,3.01,6.078,0.444,0.0
2,4,257.0,2.95,2.673,1.168,0.0
4,2,256.0,2.95,2.673,1.148,0.0
2,5,257.0,2.99,3.007,0.435,0.0
5,2,256.0,3.0,3.007,0.127,0.0
3,4,257.0,2.97,7.496,0.969,0.0
4,3,256.0,3.0,7.496,0.498,0.0
3,5,257.0,2.99,4.64,0.319,0.0
5,3,256.0,3.0,4.64,0.252,0.0
4,5,257.0,3.07,4.576,0.363,2.0
5,4,257.0,3.09,4.576,0.297,1.0
